197,6,1318334628,1318334628,1858,80,0.7,24,2283,33,44978,-0.903,1,52.4,184,61.3,0,45.3,185,61.1,0,26,396,80.7,54,95.1,547,135.2,60,1363,1514,419.2,HTTP
198,6,1318334628,1318334628,1859,80,0.7,27,3844,34,41590,-0.831,1,93.9,949,216.3,0,79,949,210.9,0,57.4,1180,227.4,54,142.4,944,251.8,60,1223.2,1434,463.9,HTTP
7,6,1318333841,1318333972,1703,80,7.68,23,2255,30,43061,-0.9,1,4862.3,59996,15427.3,0,4004,59996,14122.3,0,3,46,9.4,54,98,631,143.2,60,1435.4,1514,282.1,HTTP.MSN
167,6,1318334497,1318334497,1829,80,0.7,25,2122,31,42365,-0.905,1,5191.6,63324,15613.3,0,4639,63324,14856.3,0,986.3,24526,4805,54,84.9,443,103.6,60,1366.6,1514,402.1,HTTP
206,6,1318334628,1318334628,1867,80,0.7,21,2450,29,35512,-0.871,1,33.9,86,24.3,0,21.4,99,30.4,0,19.3,134,32.2,54,116.7,773,192.9,60,1224.6,1434,477.4,HTTP
109,6,1318333972,1318333972,1797,80,7.119,24,2601,26,33023,-0.854,1,3413.9,60572,13863.1,0,3221.1,60572,13517.9,0,34.8,551,117.4,54,108.4,487,142.9,60,1270.1,1514,508.3,HTTP.Facebook
112,6,1318333972,1318333972,1800,80,7.119,23,5721,28,29631,-0.676,1,25.5,137,28.8,0,26,137,29.7,0,14.2,78,22.7,54,248.7,507,221.4,60,1058.2,1514,577.6,HTTP.Facebook
0,6,1318333841,1318333972,1698,443,91.126,25,12013,35,22613,-0.306,1,2239.2,64831,11430.1,0,3590.2,64831,14437.9,0,148,1212,248.6,54,480.5,1160,508.4,60,646.1,1404,551.9,TLS.Google
166,6,1318334497,1318334497,1828,80,7.126,22,4194,26,29396,-0.75,1,5857.5,62474,16098.1,0,5165.5,62474,15239.9,0,1181.9,22319,4741.7,54,190.6,667,251.1,60,1130.6,1484,499,HTTP.Google
65,6,1318333972,1318333972,1753,80,7.126,21,3486,24,27049,-0.772,1,3889.8,61274,14817,0,3889.7,61274,14817.1,0,6.7,51,13.9,54,166,1193,258.6,60,1127,1484,517.8,HTTP.Google
191,6,1318334628,1318334628,1852,80,7.126,16,1160,23,29237,-0.924,1,28.7,93,36.9,0,16.5,93,31.8,0,4.7,79,17.5,54,72.5,342,69.6,60,1271.2,1484,468.6,HTTP.Google
